Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.636271	2.305925	9.810000	9.920000	
0.100000	2.304699	2.303620	10.192000	10.000000	
0.100000	2.304091	2.304284	9.998000	10.010000	
0.100000	2.304069	2.302824	10.198000	10.360000	
0.100000	2.302497	2.301607	10.410000	10.610000	
0.100000	2.302905	2.311057	10.032000	10.070000	
0.100000	2.301023	2.314765	10.620000	10.490000	
0.100000	2.292501	2.271926	11.656000	14.260000	
0.100000	2.043617	2.337189	19.824000	17.480000	
0.100000	1.857983	1.757664	27.546000	33.540000	
0.100000	1.692827	1.927545	36.002000	33.070000	
0.100000	1.570506	1.508141	41.888000	45.110000	
0.100000	1.473330	1.415174	45.950000	49.490000	
0.100000	1.367566	2.152743	50.028000	36.970000	
0.100000	1.272196	1.383609	53.880000	52.920000	
0.100000	1.179693	1.906068	57.472000	39.180000	
0.100000	1.094347	1.326391	60.738000	55.220000	
0.100000	1.024639	1.426330	63.594000	55.810000	
0.100000	0.955140	1.163827	66.062000	61.420000	
0.100000	0.893927	1.226448	68.268000	61.670000	
0.100000	0.820008	0.897872	71.102000	69.460000	
0.100000	0.750809	0.967697	73.782000	68.750000	
0.100000	0.703383	0.834319	75.472000	72.350000	
0.100000	0.669590	0.769934	76.646000	74.320000	
0.100000	0.629303	0.705550	78.192000	76.240000	
0.100000	0.599117	0.765549	79.210000	74.680000	
0.100000	0.568031	1.138225	80.268000	67.440000	
0.100000	0.546165	0.851608	81.194000	72.460000	
0.100000	0.525310	0.824728	81.870000	73.520000	
0.100000	0.509056	0.650479	82.690000	78.610000	
0.100000	0.489133	0.638842	83.022000	79.170000	
0.100000	0.473599	0.609061	83.570000	80.250000	
0.100000	0.461959	0.611308	84.138000	79.960000	
0.100000	0.449496	0.609134	84.380000	80.910000	
0.100000	0.434417	0.575268	85.166000	80.250000	
0.100000	0.424152	0.698654	85.340000	77.450000	
0.100000	0.426461	0.748300	85.328000	77.340000	
0.100000	0.414797	0.602012	85.678000	80.820000	
0.100000	0.399156	0.568901	86.294000	81.370000	
0.100000	0.391587	0.543516	86.328000	81.990000	
0.100000	0.383311	0.584012	86.610000	80.900000	
0.100000	0.375005	0.542868	86.970000	82.080000	
0.100000	0.370737	0.441920	87.256000	85.030000	
0.100000	0.359305	0.570080	87.622000	81.890000	
0.100000	0.357251	0.491868	87.666000	83.710000	
0.100000	0.343491	0.440656	88.130000	85.540000	
0.100000	0.345634	0.450611	88.146000	84.960000	
0.100000	0.342507	0.421177	88.164000	85.650000	
0.100000	0.334073	0.431187	88.306000	85.290000	
