Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.752902	4.554486	1.218000	1.550000	
0.100000	4.531306	4.522402	2.078000	2.300000	
0.100000	4.338682	4.310138	3.098000	4.380000	
0.100000	4.125313	4.032353	5.472000	7.210000	
0.100000	3.893379	3.848460	8.562000	10.540000	
0.100000	3.672948	3.658276	12.278000	13.660000	
0.100000	3.466914	3.590652	15.582000	15.480000	
0.100000	3.236517	3.167031	20.064000	22.250000	
0.100000	3.037703	3.032138	23.734000	23.610000	
0.100000	2.833878	2.852173	27.668000	29.430000	
0.100000	2.619483	2.728494	32.216000	31.300000	
0.100000	2.439275	2.598289	35.710000	34.140000	
0.100000	2.287179	2.698210	39.036000	34.610000	
0.100000	2.138561	2.316039	42.644000	40.670000	
0.100000	2.023439	2.101962	45.126000	45.000000	
0.100000	1.907585	2.152869	47.612000	44.690000	
0.100000	1.809427	2.057365	50.278000	45.710000	
0.100000	1.729614	1.969910	51.828000	48.250000	
0.100000	1.655640	1.976911	53.476000	48.300000	
0.100000	1.583480	1.814394	55.478000	51.160000	
0.100000	1.521718	1.882716	57.076000	50.280000	
0.100000	1.469115	1.792034	58.226000	52.450000	
0.100000	1.417931	1.764705	59.446000	52.820000	
0.100000	1.365458	1.753104	60.790000	52.720000	
0.100000	1.321564	1.777338	61.768000	53.190000	
0.100000	1.285858	1.791369	62.914000	52.640000	
0.100000	1.246328	1.609685	63.888000	57.190000	
0.100000	1.219721	1.572030	64.394000	58.030000	
0.100000	1.181575	1.603316	65.416000	57.100000	
0.100000	1.155588	1.724189	66.182000	56.400000	
0.100000	1.125562	1.545364	66.786000	59.010000	
0.100000	1.098717	1.684804	67.562000	56.820000	
0.100000	1.075609	1.466953	67.930000	60.430000	
0.100000	1.047510	1.631180	68.884000	58.010000	
0.100000	1.028018	1.437666	69.728000	60.950000	
0.100000	1.008850	1.672377	69.938000	58.120000	
0.100000	0.983654	1.572423	70.614000	59.010000	
0.100000	0.966373	1.745296	71.090000	55.770000	
0.100000	0.955909	1.570892	71.476000	58.990000	
0.100000	0.938578	1.670704	71.728000	58.230000	
0.100000	0.919127	1.504014	72.476000	60.060000	
0.100000	0.903753	1.526134	72.626000	60.240000	
0.100000	0.892828	1.621091	72.986000	59.200000	
0.100000	0.881241	1.483912	73.354000	61.320000	
0.100000	0.858643	1.473674	73.896000	61.470000	
0.100000	0.842413	1.498732	74.408000	61.100000	
0.100000	0.826878	1.421300	74.808000	63.220000	
0.100000	0.821541	1.438346	75.036000	61.910000	
0.100000	0.802550	1.485905	75.514000	62.000000	
0.100000	0.802287	1.570737	75.386000	61.660000	
0.100000	0.794810	1.483972	75.704000	61.620000	
0.100000	0.780785	1.573610	75.986000	60.350000	
0.100000	0.765732	1.392584	76.554000	63.310000	
0.100000	0.754313	1.444214	76.794000	62.540000	
0.100000	0.752365	1.454221	76.736000	62.610000	
0.100000	0.737301	1.421233	77.112000	64.110000	
0.100000	0.726730	1.615498	77.576000	61.840000	
0.100000	0.717653	1.655690	77.922000	59.570000	
0.100000	0.720643	1.545562	77.726000	61.930000	
0.100000	0.707542	1.575529	78.062000	61.340000	
0.100000	0.691485	1.494452	78.516000	62.180000	
0.100000	0.695134	1.389601	78.408000	63.930000	
0.100000	0.678572	1.486908	78.886000	63.400000	
