Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.851876	3.974996	10.840000	13.540000	
0.100000	3.045274	2.888435	23.718000	27.320000	
0.100000	2.478771	2.414630	34.640000	37.530000	
0.100000	2.122219	2.340988	42.314000	39.600000	
0.100000	1.892337	2.176634	47.894000	44.100000	
0.100000	1.745829	2.050143	51.462000	46.310000	
0.100000	1.620131	1.843897	54.672000	50.270000	
0.100000	1.529068	1.849693	56.822000	51.100000	
0.100000	1.449015	1.728277	58.854000	53.570000	
0.100000	1.387068	1.686051	60.300000	54.800000	
0.100000	1.327065	1.701481	61.850000	55.530000	
0.100000	1.290427	1.781601	62.974000	53.210000	
0.100000	1.248621	1.589739	64.118000	58.140000	
0.100000	1.218910	1.534302	64.746000	58.600000	
0.100000	1.191199	1.540523	65.212000	58.890000	
0.100000	1.152988	1.782037	66.340000	55.360000	
0.100000	1.139060	1.703132	66.814000	56.920000	
0.100000	1.117393	1.617681	67.638000	58.370000	
0.100000	1.091431	1.465190	67.918000	61.200000	
0.100000	1.075929	1.484100	68.324000	60.910000	
0.100000	1.059428	1.637220	68.966000	58.130000	
0.100000	1.046954	1.343492	69.198000	62.570000	
0.100000	1.030856	1.440440	69.792000	60.570000	
0.100000	1.010612	1.514678	69.942000	60.030000	
0.100000	1.004080	1.446619	70.392000	61.810000	
0.100000	0.988141	1.446455	70.600000	61.930000	
0.100000	0.981581	1.463397	70.638000	61.150000	
0.100000	0.968431	1.478965	71.212000	60.440000	
0.100000	0.957593	1.485368	71.536000	61.150000	
0.100000	0.953116	1.495303	71.680000	61.750000	
0.100000	0.942487	1.453017	71.772000	62.410000	
0.100000	0.936218	1.384317	71.982000	63.540000	
0.100000	0.924890	1.491888	72.470000	61.540000	
0.100000	0.919301	1.437319	72.416000	62.220000	
0.100000	0.915370	1.464211	72.648000	61.670000	
0.100000	0.898956	1.373351	72.930000	63.530000	
0.100000	0.895699	1.308816	73.120000	64.130000	
0.100000	0.887069	1.331426	73.404000	64.590000	
0.100000	0.880720	1.421187	73.340000	63.320000	
0.100000	0.877246	1.369751	73.644000	63.480000	
0.100000	0.871840	1.387556	73.716000	63.970000	
0.100000	0.866358	1.477826	73.806000	62.590000	
0.100000	0.857558	1.366990	74.382000	64.930000	
0.100000	0.852344	1.383938	74.046000	64.170000	
0.100000	0.849178	1.342365	74.280000	64.690000	
0.100000	0.849163	1.435728	74.352000	63.330000	
0.100000	0.841619	1.405442	74.594000	63.050000	
0.100000	0.833486	1.372269	74.806000	64.430000	
0.100000	0.828647	1.380941	74.916000	63.560000	
0.100000	0.830687	1.414201	75.136000	63.870000	
0.100000	0.821391	1.295404	75.104000	66.240000	
0.100000	0.816454	1.365915	75.212000	64.250000	
0.100000	0.818668	1.580500	75.064000	61.490000	
