Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.848991	3.506770	10.762000	16.390000	
0.100000	3.052844	2.956785	23.756000	27.160000	
0.100000	2.504172	2.553372	33.962000	35.120000	
0.100000	2.159119	2.471359	41.548000	38.440000	
0.100000	1.916221	2.123326	47.216000	45.240000	
0.100000	1.758537	1.976724	51.026000	47.610000	
0.100000	1.631433	1.823710	54.162000	51.250000	
0.100000	1.534798	1.739079	56.810000	53.260000	
0.100000	1.447196	1.746504	58.876000	54.520000	
0.100000	1.382863	1.676360	60.452000	55.590000	
0.100000	1.333433	1.713422	61.840000	55.040000	
0.100000	1.283099	1.767387	62.954000	54.960000	
0.100000	1.241744	1.732196	64.088000	56.170000	
0.100000	1.208892	1.588633	64.876000	57.170000	
0.100000	1.176510	1.487604	65.786000	59.690000	
0.100000	1.156405	1.534249	66.476000	58.740000	
0.100000	1.132508	1.398971	66.894000	61.580000	
0.100000	1.106778	1.605796	67.614000	57.520000	
0.100000	1.085804	1.563595	68.052000	58.500000	
0.100000	1.061580	1.552136	68.640000	59.180000	
0.100000	1.048190	1.534212	68.934000	60.070000	
0.100000	1.027349	1.579204	69.662000	59.190000	
0.100000	1.016392	1.509150	69.986000	60.130000	
0.100000	0.999060	1.584252	70.462000	59.750000	
0.100000	0.982188	1.387958	70.794000	62.840000	
0.100000	0.974104	1.403560	71.060000	62.600000	
0.100000	0.958238	1.451059	71.548000	61.920000	
0.100000	0.956764	1.466171	71.268000	60.910000	
0.100000	0.943779	1.448973	71.962000	62.300000	
0.100000	0.934188	1.394187	71.968000	62.340000	
0.100000	0.921923	1.511591	72.432000	60.870000	
0.100000	0.913928	1.367933	72.556000	63.270000	
0.100000	0.906940	1.495600	72.918000	62.050000	
0.100000	0.899675	1.426493	72.872000	62.670000	
0.100000	0.887807	1.346715	73.276000	64.360000	
0.100000	0.874902	1.579658	73.550000	60.910000	
0.100000	0.884594	1.661088	73.154000	59.020000	
0.100000	0.865131	1.443020	73.976000	63.180000	
0.100000	0.860899	1.412986	73.928000	63.030000	
0.100000	0.862037	1.318767	73.994000	65.200000	
0.100000	0.848341	1.381275	74.280000	64.600000	
0.100000	0.846382	1.449224	74.366000	63.040000	
0.100000	0.836182	1.444458	74.830000	63.080000	
0.100000	0.837826	1.497280	74.580000	61.890000	
0.100000	0.829897	1.449368	75.038000	62.860000	
0.100000	0.821619	1.343718	74.998000	65.000000	
0.100000	0.820322	1.382783	75.082000	64.200000	
0.100000	0.817460	1.398680	75.192000	63.760000	
0.100000	0.816627	1.311038	75.106000	65.270000	
0.100000	0.803736	1.342242	75.486000	65.390000	
0.100000	0.806234	1.286429	75.388000	66.130000	
0.100000	0.797356	1.379030	75.706000	64.530000	
0.100000	0.796105	1.342922	75.808000	64.650000	
0.100000	0.787695	1.382521	76.112000	63.760000	
0.100000	0.783392	1.349056	75.966000	65.490000	
0.100000	0.789300	1.301080	75.676000	65.180000	
0.100000	0.785813	1.348503	76.086000	65.340000	
0.100000	0.773963	1.324228	76.192000	65.200000	
0.100000	0.781589	1.347696	76.148000	64.670000	
0.100000	0.774007	1.376984	76.324000	64.510000	
0.100000	0.766796	1.502786	76.606000	63.080000	
0.100000	0.766813	1.263217	76.592000	66.790000	
0.100000	0.762793	1.470093	76.692000	63.290000	
0.100000	0.764935	1.397797	76.656000	63.650000	
0.100000	0.755350	1.333860	76.824000	65.880000	
0.100000	0.757709	1.311715	76.786000	65.550000	
0.100000	0.753377	1.361361	77.054000	64.970000	
0.100000	0.756863	1.403615	76.728000	64.430000	
0.100000	0.748039	1.276728	77.174000	66.720000	
0.100000	0.754777	1.391317	76.874000	64.510000	
0.100000	0.746997	1.377698	76.820000	65.220000	
0.100000	0.744589	1.258724	77.238000	65.860000	
0.100000	0.739243	1.287227	77.340000	65.800000	
0.100000	0.733249	1.297858	77.468000	65.940000	
0.100000	0.744318	1.313974	77.056000	65.930000	
0.100000	0.736448	1.379475	77.220000	65.710000	
0.100000	0.728100	1.419946	77.568000	65.180000	
0.100000	0.727576	1.451562	77.692000	63.730000	
0.100000	0.736885	1.401417	77.528000	64.750000	
0.100000	0.733698	1.358120	77.460000	65.130000	
0.100000	0.723444	1.253934	77.896000	67.350000	
0.100000	0.726586	1.314732	77.826000	66.640000	
0.100000	0.727577	1.284429	77.506000	67.070000	
0.100000	0.725962	1.369936	77.760000	65.820000	
0.100000	0.713715	1.527638	77.808000	63.130000	
0.100000	0.731999	1.431899	77.578000	64.730000	
0.100000	0.714769	1.259004	78.182000	66.910000	
0.100000	0.721151	1.354693	77.882000	65.520000	
0.100000	0.719792	1.394346	77.864000	65.170000	
0.100000	0.717454	1.286838	77.984000	66.690000	
0.100000	0.717924	1.566485	77.986000	62.040000	
0.100000	0.711721	1.342635	78.092000	67.050000	
0.100000	0.713908	1.404739	78.078000	64.710000	
0.100000	0.709363	1.253581	78.174000	67.260000	
0.100000	0.711099	1.358232	78.122000	65.750000	
0.100000	0.704899	1.342688	78.230000	66.010000	
0.100000	0.694256	1.505281	78.678000	63.640000	
0.100000	0.707919	1.453278	78.216000	64.150000	
0.100000	0.701605	1.378693	78.456000	64.990000	
0.100000	0.703208	1.227829	78.402000	67.620000	
0.100000	0.706762	1.327285	78.254000	65.400000	
0.100000	0.704247	1.399789	78.268000	65.510000	
0.100000	0.704955	1.368192	78.320000	66.420000	
0.100000	0.703986	1.369189	78.296000	65.060000	
0.100000	0.699899	1.389370	78.262000	65.250000	
0.100000	0.694847	1.412832	78.588000	64.560000	
0.100000	0.695909	1.408809	78.540000	65.530000	
0.100000	0.695802	1.433831	78.580000	64.070000	
0.100000	0.695792	1.282621	78.464000	67.010000	
0.100000	0.681870	1.319013	78.848000	66.340000	
0.100000	0.696514	1.366047	78.428000	65.970000	
0.100000	0.691555	1.384412	78.788000	65.770000	
0.100000	0.700454	1.302945	78.306000	66.200000	
0.100000	0.682885	1.320590	78.928000	66.870000	
0.100000	0.692045	1.249653	78.670000	68.170000	
0.100000	0.687231	1.459219	78.710000	63.270000	
0.100000	0.693024	1.322862	78.498000	66.320000	
0.100000	0.692381	1.435097	78.584000	65.100000	
0.100000	0.679862	1.317186	78.846000	66.420000	
0.100000	0.684936	1.377425	78.758000	65.970000	
0.100000	0.692849	1.281589	78.628000	66.980000	
0.100000	0.682535	1.227091	78.814000	67.890000	
0.100000	0.676174	1.378313	78.946000	66.240000	
0.100000	0.688127	1.394059	78.846000	64.860000	
0.100000	0.672097	1.348970	79.170000	65.880000	
0.100000	0.680119	1.450717	78.870000	64.750000	
0.100000	0.682420	1.309129	78.740000	66.620000	
0.100000	0.680633	1.421088	78.992000	63.960000	
0.100000	0.680333	1.366900	78.924000	65.700000	
0.100000	0.670645	1.364875	79.392000	64.870000	
0.100000	0.676096	1.334085	79.060000	65.460000	
0.100000	0.672295	1.574270	79.150000	62.290000	
0.100000	0.677610	1.334082	79.058000	66.540000	
0.100000	0.671737	1.472196	79.294000	64.680000	
0.100000	0.682938	1.316006	78.898000	67.120000	
0.100000	0.680085	1.364119	78.920000	65.800000	
0.100000	0.670980	1.429453	79.104000	65.220000	
0.100000	0.674731	1.331508	79.122000	66.720000	
0.100000	0.672452	1.341531	79.324000	65.480000	
0.100000	0.671989	1.317301	79.042000	66.460000	
0.100000	0.670902	1.296079	79.466000	66.390000	
0.100000	0.673826	1.358008	79.208000	65.210000	
0.100000	0.670212	1.195732	79.198000	68.180000	
0.100000	0.665556	1.260573	79.264000	67.790000	
0.100000	0.675230	1.355805	79.120000	66.090000	
0.100000	0.666786	1.478693	79.272000	63.660000	
0.100000	0.669812	1.331891	79.550000	66.330000	
0.100000	0.668738	1.353182	79.132000	66.170000	
0.100000	0.666747	1.260639	79.250000	67.750000	
0.100000	0.668932	1.341953	79.102000	65.700000	
