Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.701474	4.495567	1.470000	2.270000	
0.100000	4.352184	4.217651	2.838000	4.100000	
0.100000	4.116257	4.081546	5.480000	6.280000	
0.100000	3.920095	4.149626	8.040000	7.950000	
0.100000	3.739085	3.714994	11.078000	12.280000	
0.100000	3.541762	3.580045	14.542000	14.360000	
0.100000	3.361743	3.445389	17.662000	17.580000	
0.100000	3.172497	3.115858	21.122000	22.360000	
0.100000	2.974750	3.167490	24.946000	23.640000	
0.100000	2.808555	2.977769	28.300000	26.630000	
0.100000	2.660202	3.043444	31.364000	27.310000	
0.100000	2.524468	3.059992	34.166000	26.810000	
0.100000	2.402601	2.579497	36.840000	36.000000	
0.100000	2.292838	2.519618	39.114000	36.830000	
0.100000	2.193041	2.345698	41.184000	39.880000	
0.100000	2.099575	2.382902	43.444000	38.920000	
0.100000	2.028749	2.537883	44.874000	36.790000	
0.100000	1.938552	2.271376	46.818000	42.580000	
0.100000	1.880137	2.337381	48.354000	42.110000	
0.100000	1.803646	2.108844	50.154000	46.180000	
0.100000	1.749263	1.981093	51.214000	47.810000	
0.100000	1.689101	1.990813	53.096000	48.550000	
0.100000	1.664919	1.986439	53.730000	49.760000	
0.100000	1.599570	2.298559	54.854000	45.720000	
0.100000	1.560685	2.132886	55.882000	47.120000	
0.100000	1.517387	1.824532	57.034000	51.560000	
0.100000	1.478334	1.997610	58.018000	49.870000	
0.100000	1.442349	1.747562	58.942000	53.120000	
0.100000	1.414081	2.412880	59.766000	52.880000	
0.100000	1.384261	1.742006	60.250000	54.050000	
0.100000	1.351352	1.639087	61.118000	55.870000	
0.100000	1.312017	1.679691	62.200000	54.780000	
0.100000	1.293240	1.697706	62.736000	54.200000	
0.100000	1.278012	1.923782	63.004000	51.900000	
0.100000	1.258440	1.538566	63.378000	58.440000	
0.100000	1.221296	1.634407	64.342000	56.450000	
0.100000	1.196392	1.604758	64.886000	56.920000	
0.100000	1.175137	1.605009	65.546000	57.190000	
0.100000	1.151297	1.520097	66.278000	59.080000	
0.100000	1.137213	1.603574	66.610000	57.410000	
0.100000	1.115002	1.599894	67.372000	57.570000	
0.100000	1.103703	1.483356	67.606000	59.240000	
0.100000	1.088665	1.618068	67.996000	57.700000	
0.100000	1.072530	1.948426	68.334000	53.320000	
0.100000	1.054388	1.584163	68.750000	58.450000	
0.100000	1.036491	1.497571	69.172000	60.200000	
0.100000	1.015267	1.527897	69.794000	58.560000	
0.100000	1.007208	1.632453	69.942000	58.180000	
0.100000	0.987674	1.612985	70.412000	58.700000	
0.100000	0.981583	1.592639	70.692000	58.500000	
0.100000	0.966705	1.504082	70.982000	60.760000	
0.100000	0.952109	1.597715	71.424000	59.720000	
0.100000	0.947231	1.562677	71.502000	59.280000	
0.100000	0.926366	1.585163	72.258000	58.790000	
0.100000	0.923778	1.787329	72.214000	56.930000	
0.100000	0.899220	1.471292	72.818000	61.510000	
0.100000	0.900556	1.448050	72.958000	61.750000	
0.100000	0.890634	1.503299	72.924000	60.190000	
0.100000	0.873874	1.384548	73.494000	63.240000	
0.100000	0.865395	1.424911	73.714000	62.930000	
0.100000	0.854634	1.469439	73.864000	61.510000	
0.100000	0.853725	1.461755	74.128000	61.400000	
