Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.814930	3.409308	11.322000	17.560000	
0.100000	2.969129	2.824359	24.958000	28.180000	
0.100000	2.450323	2.605435	35.226000	35.650000	
0.100000	2.122657	2.091331	42.564000	44.860000	
0.100000	1.898855	2.020987	47.618000	47.170000	
0.100000	1.736898	2.027322	51.558000	46.750000	
0.100000	1.618499	1.887668	54.510000	49.610000	
0.100000	1.525086	1.836904	56.914000	50.970000	
0.100000	1.441474	1.683944	58.854000	54.140000	
0.100000	1.388729	1.692892	60.278000	55.150000	
0.100000	1.335753	1.673495	61.784000	55.260000	
0.100000	1.282217	1.690838	63.118000	55.100000	
0.100000	1.245397	1.501114	63.842000	59.020000	
0.100000	1.217684	1.641239	64.614000	56.420000	
0.100000	1.184092	1.476194	65.494000	60.000000	
0.100000	1.155747	1.562110	66.298000	58.960000	
0.100000	1.129046	2.115599	66.982000	52.460000	
0.100000	1.105184	1.601695	67.682000	58.540000	
0.100000	1.085759	1.477225	68.128000	60.310000	
0.100000	1.067433	1.692897	68.622000	57.090000	
0.100000	1.058452	1.522259	68.482000	59.910000	
0.100000	1.039296	1.462748	69.178000	61.390000	
0.100000	1.020836	1.613911	69.800000	59.340000	
0.100000	1.009771	1.722546	70.054000	57.780000	
0.100000	0.993168	1.430946	70.526000	61.410000	
0.100000	0.984172	1.494668	70.678000	61.830000	
0.100000	0.972061	1.352782	71.064000	63.710000	
0.100000	0.960065	1.465650	71.336000	61.640000	
0.100000	0.946304	1.517403	71.898000	60.650000	
0.100000	0.938404	1.566090	71.820000	60.570000	
0.100000	0.927133	1.439321	72.408000	61.900000	
0.100000	0.919845	1.576862	72.410000	60.190000	
0.100000	0.913151	1.398947	72.592000	63.460000	
0.100000	0.905244	1.301926	72.916000	64.780000	
0.100000	0.891912	1.449265	73.166000	61.810000	
0.100000	0.890020	1.394560	73.112000	63.900000	
0.100000	0.880903	1.380249	73.366000	63.290000	
0.100000	0.876195	1.431673	73.752000	62.810000	
0.100000	0.868454	1.417337	73.826000	63.820000	
0.100000	0.870258	1.619098	73.778000	59.800000	
0.100000	0.847965	1.331658	74.512000	64.510000	
0.100000	0.851681	1.461366	74.184000	62.520000	
0.100000	0.844782	1.442323	74.360000	62.690000	
0.100000	0.834858	1.408335	74.548000	63.990000	
0.100000	0.831357	1.393636	74.932000	64.370000	
0.100000	0.835213	1.462919	74.842000	62.230000	
0.100000	0.821430	1.529014	75.072000	61.560000	
0.100000	0.819662	1.339512	75.010000	64.780000	
0.100000	0.813101	1.383013	75.130000	64.030000	
0.100000	0.809425	1.352532	75.546000	64.550000	
0.100000	0.813634	1.349388	75.436000	65.410000	
0.100000	0.804550	1.400429	75.572000	63.810000	
0.100000	0.802561	1.441519	75.822000	63.340000	
0.100000	0.799208	1.362157	75.674000	64.420000	
0.100000	0.799958	1.374523	75.668000	63.720000	
0.100000	0.790992	1.406190	75.810000	63.630000	
0.100000	0.785708	1.436156	75.944000	63.930000	
0.100000	0.785596	1.391617	76.200000	64.880000	
0.100000	0.778138	1.383270	76.384000	65.350000	
0.100000	0.778943	1.354518	76.264000	65.090000	
0.100000	0.777068	1.339845	76.096000	65.460000	
0.100000	0.778142	1.375862	76.322000	64.410000	
0.100000	0.767023	1.431945	76.564000	63.420000	
0.100000	0.765184	1.315675	76.794000	65.770000	
0.100000	0.772343	1.339144	76.404000	66.120000	
0.100000	0.767925	1.330667	76.434000	65.300000	
0.100000	0.749224	1.378769	77.356000	64.760000	
0.100000	0.755836	1.380517	76.674000	64.110000	
0.100000	0.754115	1.448414	76.834000	62.780000	
0.100000	0.754777	1.379695	76.998000	64.760000	
0.100000	0.750116	1.387445	76.966000	64.840000	
0.100000	0.741815	1.339797	77.314000	66.270000	
0.100000	0.745376	1.326416	77.034000	65.450000	
0.100000	0.741133	1.631271	77.278000	61.340000	
0.100000	0.738394	1.324872	77.224000	66.000000	
0.100000	0.742433	1.401570	77.348000	64.030000	
0.100000	0.734820	1.403436	77.404000	64.790000	
0.100000	0.735462	1.236869	77.702000	66.940000	
0.100000	0.736793	1.395255	77.366000	65.360000	
0.100000	0.731670	1.430249	77.542000	64.020000	
0.100000	0.726616	1.367952	77.582000	64.770000	
0.100000	0.732160	1.400365	77.580000	65.990000	
0.100000	0.720724	1.343517	77.796000	65.530000	
0.100000	0.720471	1.334117	77.760000	66.400000	
0.100000	0.723383	1.469398	77.708000	63.660000	
0.100000	0.721319	1.330993	77.846000	65.330000	
0.100000	0.711723	1.333893	78.092000	65.200000	
0.100000	0.725281	1.298454	77.768000	66.280000	
0.100000	0.708865	1.274182	77.904000	67.400000	
0.100000	0.718008	1.434991	77.928000	64.340000	
0.100000	0.706972	1.381257	78.150000	64.880000	
0.100000	0.719112	1.428003	77.884000	64.560000	
0.100000	0.715226	1.369494	78.048000	65.750000	
0.100000	0.713400	1.358737	77.984000	65.590000	
0.100000	0.704710	1.268377	78.362000	66.380000	
0.100000	0.714944	1.524317	77.988000	63.510000	
0.100000	0.706397	1.443368	78.414000	64.350000	
0.100000	0.702109	1.438172	78.484000	64.250000	
0.100000	0.697780	1.491405	78.548000	63.420000	
0.100000	0.699313	1.358283	78.518000	66.250000	
0.100000	0.699992	1.424616	78.450000	64.620000	
0.100000	0.698096	1.285065	78.268000	67.360000	
0.100000	0.699628	1.386817	78.482000	66.040000	
0.100000	0.702800	1.374608	78.350000	66.140000	
0.100000	0.694134	1.434466	78.672000	64.530000	
0.100000	0.697735	1.275039	78.418000	66.980000	
0.100000	0.690223	1.351931	78.868000	65.460000	
0.100000	0.688380	1.367061	78.820000	64.920000	
0.100000	0.695413	1.266737	78.408000	66.690000	
0.100000	0.692140	1.403065	78.622000	65.880000	
0.100000	0.690457	1.273634	78.800000	66.720000	
0.100000	0.690697	1.267193	78.636000	67.730000	
0.100000	0.698901	1.294987	78.332000	66.110000	
0.100000	0.686038	1.262469	78.808000	67.620000	
0.100000	0.688145	1.394444	78.704000	65.110000	
0.100000	0.682278	1.380357	79.140000	65.740000	
0.100000	0.686998	1.362695	78.534000	64.680000	
0.100000	0.688770	1.405088	78.874000	64.750000	
0.100000	0.680084	1.436220	79.096000	65.150000	
0.100000	0.680591	1.508114	78.970000	63.390000	
0.100000	0.670804	1.303201	79.358000	66.380000	
0.100000	0.680459	1.243540	78.948000	67.850000	
0.100000	0.673302	1.359772	79.022000	65.710000	
0.100000	0.684676	1.255426	78.716000	67.340000	
0.100000	0.673327	1.225016	79.224000	67.780000	
0.100000	0.667781	1.288695	79.340000	66.900000	
0.100000	0.679945	1.323032	79.078000	66.150000	
0.100000	0.678831	1.325280	78.916000	65.710000	
0.100000	0.674418	1.229062	79.026000	68.140000	
0.100000	0.668591	1.389752	79.418000	65.520000	
0.100000	0.667637	1.369486	79.362000	65.550000	
0.100000	0.671393	1.268130	79.038000	67.770000	
0.100000	0.667726	1.512935	79.212000	63.350000	
0.100000	0.666780	1.324519	79.348000	66.260000	
0.100000	0.663357	1.357090	79.380000	65.490000	
0.100000	0.663010	1.411957	79.408000	65.710000	
0.100000	0.670247	1.345223	79.142000	66.060000	
0.100000	0.666939	1.352775	79.266000	66.080000	
0.100000	0.665110	1.347384	79.330000	66.020000	
0.100000	0.673698	1.424911	79.082000	65.140000	
0.100000	0.658367	1.438988	79.712000	64.280000	
0.100000	0.660844	1.290000	79.612000	66.580000	
0.100000	0.668914	1.430734	79.226000	64.370000	
0.100000	0.668572	1.376551	79.090000	65.140000	
0.100000	0.661748	1.229342	79.360000	68.540000	
0.100000	0.662383	1.315335	79.614000	66.440000	
0.100000	0.651361	1.423044	79.850000	65.830000	
0.100000	0.659285	1.640991	79.418000	62.280000	
0.100000	0.662651	1.398267	79.420000	65.320000	
0.100000	0.657260	1.464895	79.630000	64.400000	
0.010000	0.343367	0.886584	89.720000	76.430000	
0.010000	0.244474	0.871430	92.974000	77.250000	
0.010000	0.207789	0.886077	94.218000	77.310000	
0.010000	0.184269	0.886536	95.018000	77.440000	
0.010000	0.165535	0.891283	95.548000	77.520000	
0.010000	0.152408	0.899782	95.860000	77.880000	
0.010000	0.139199	0.916240	96.364000	77.600000	
0.010000	0.127125	0.920479	96.810000	77.620000	
0.010000	0.116564	0.930484	97.184000	77.610000	
0.010000	0.109960	0.937588	97.218000	77.550000	
0.010000	0.104246	0.947409	97.440000	77.680000	
0.010000	0.097346	0.963709	97.660000	77.420000	
0.010000	0.091830	0.971637	97.862000	77.170000	
0.010000	0.086902	0.963723	97.974000	77.510000	
0.010000	0.081813	0.982163	98.132000	77.550000	
0.010000	0.079237	0.992266	98.254000	77.400000	
0.010000	0.076381	1.006452	98.278000	77.120000	
0.010000	0.069232	0.995676	98.598000	77.250000	
0.010000	0.069309	1.012594	98.530000	77.260000	
0.010000	0.065781	1.026743	98.606000	76.950000	
0.010000	0.059940	1.018045	98.854000	77.420000	
0.010000	0.060319	1.029224	98.858000	77.420000	
0.010000	0.059505	1.017411	98.810000	77.820000	
0.010000	0.056190	1.036278	98.958000	77.330000	
0.010000	0.054145	1.048617	98.936000	76.870000	
0.010000	0.052678	1.052849	98.970000	77.210000	
0.010000	0.050600	1.032379	99.082000	77.240000	
0.010000	0.049693	1.027574	99.082000	77.680000	
0.010000	0.046817	1.054462	99.180000	77.030000	
0.010000	0.047692	1.059132	99.118000	77.080000	
0.010000	0.047175	1.063958	99.100000	77.170000	
0.010000	0.044415	1.046687	99.246000	77.430000	
0.010000	0.045144	1.058745	99.218000	77.340000	
0.010000	0.043338	1.063016	99.242000	77.460000	
0.010000	0.041848	1.054403	99.304000	77.180000	
0.010000	0.040355	1.066348	99.356000	77.600000	
0.010000	0.040837	1.054101	99.310000	77.330000	
0.010000	0.039367	1.076992	99.358000	77.260000	
0.010000	0.039126	1.062512	99.380000	77.030000	
0.010000	0.037939	1.058884	99.402000	77.650000	
