Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.628588	4.383059	1.608000	3.040000	
0.100000	4.175568	4.039739	4.368000	5.520000	
0.100000	3.913116	3.816226	7.294000	9.240000	
0.100000	3.719589	3.832008	10.036000	9.990000	
0.100000	3.516011	3.494815	13.206000	13.560000	
0.100000	3.265247	3.296208	17.254000	16.910000	
0.100000	3.043439	3.207603	21.092000	19.050000	
0.100000	2.856368	3.427825	24.788000	20.000000	
0.100000	2.706659	3.442601	27.986000	19.370000	
0.100000	2.579750	2.886125	30.736000	27.830000	
0.100000	2.478582	2.999941	32.906000	25.420000	
0.100000	2.398291	2.703426	35.034000	29.740000	
0.100000	2.325300	2.446261	36.996000	34.480000	
0.100000	2.270304	2.672571	38.588000	33.230000	
0.100000	2.221933	2.803947	39.838000	30.860000	
0.100000	2.163640	2.829383	41.362000	31.590000	
0.100000	2.117269	2.431210	42.526000	36.740000	
0.100000	2.074705	2.533896	43.584000	35.870000	
0.100000	2.047147	2.492220	44.560000	37.530000	
0.100000	2.014777	2.748165	45.376000	33.410000	
0.100000	1.976685	2.435322	46.430000	38.400000	
0.100000	1.970624	2.282072	46.890000	41.420000	
0.100000	1.937217	2.360451	47.512000	39.240000	
0.100000	1.910664	2.573153	48.190000	36.610000	
0.100000	1.888590	2.376238	48.772000	40.250000	
0.100000	1.880505	2.167863	48.920000	43.960000	
0.100000	1.847354	2.348718	49.776000	39.790000	
0.100000	1.835350	2.374585	50.138000	41.190000	
0.100000	1.838925	2.637592	50.178000	37.780000	
0.100000	1.809202	2.133598	50.888000	44.600000	
0.100000	1.791196	2.647877	51.328000	36.610000	
0.100000	1.785763	2.535737	51.790000	38.700000	
0.100000	1.775263	2.661088	51.844000	38.020000	
0.100000	1.774214	2.563975	52.198000	38.020000	
0.100000	1.742226	2.304438	52.994000	42.090000	
0.100000	1.736133	2.355315	53.134000	42.880000	
0.100000	1.736328	2.219074	52.822000	45.480000	
0.100000	1.737789	2.004429	52.894000	48.580000	
0.100000	1.714687	2.312235	53.762000	43.280000	
0.100000	1.721223	2.119370	53.480000	45.500000	
0.100000	1.722081	2.263034	53.820000	44.650000	
0.100000	1.704286	2.511868	53.910000	41.790000	
0.100000	1.707656	2.230412	54.172000	44.080000	
0.100000	1.704832	2.127360	53.974000	46.190000	
0.100000	1.702937	2.169779	54.458000	45.540000	
0.100000	1.689329	2.181317	54.260000	44.360000	
0.100000	1.675667	2.350581	55.024000	44.100000	
0.100000	1.684623	2.615283	54.690000	40.990000	
0.100000	1.674103	2.143126	54.930000	45.990000	
0.100000	1.682584	2.126355	54.624000	46.950000	
0.100000	1.672624	2.020197	55.100000	48.510000	
0.100000	1.657135	2.239263	55.504000	45.310000	
0.100000	1.652333	2.078975	55.652000	47.140000	
0.100000	1.653818	2.560849	55.522000	40.480000	
0.100000	1.633254	2.172360	55.918000	46.960000	
0.100000	1.654948	2.843310	55.596000	36.610000	
0.100000	1.654373	2.151410	55.664000	47.500000	
0.100000	1.631557	2.017249	56.226000	49.210000	
0.100000	1.627376	2.235210	56.332000	44.010000	
0.100000	1.619047	2.438791	56.454000	41.540000	
0.100000	1.612096	2.036665	56.688000	49.020000	
0.100000	1.609040	2.309404	56.910000	43.320000	
0.100000	1.604742	2.513834	56.826000	41.900000	
0.100000	1.606995	2.231136	56.804000	45.480000	
0.100000	1.598740	2.311622	56.964000	44.020000	
0.100000	1.607692	1.930202	56.824000	49.960000	
0.100000	1.585550	2.012749	57.272000	49.520000	
0.100000	1.596982	2.167236	56.962000	46.630000	
0.100000	1.580760	2.117585	57.512000	47.590000	
0.100000	1.575851	1.880704	57.668000	51.600000	
0.100000	1.578392	2.233448	57.594000	45.790000	
0.100000	1.575763	2.032952	57.476000	48.340000	
0.100000	1.580601	1.920693	57.554000	50.340000	
0.100000	1.574121	2.030422	57.682000	48.680000	
0.100000	1.559634	2.054682	57.888000	49.240000	
0.100000	1.550710	2.168521	58.254000	47.380000	
0.100000	1.572905	2.059809	57.722000	48.260000	
0.100000	1.553259	2.397164	58.166000	44.010000	
0.100000	1.562714	2.242155	58.042000	46.050000	
0.100000	1.572300	2.174414	57.904000	46.690000	
0.100000	1.553911	2.144624	58.062000	46.520000	
0.100000	1.558170	2.270936	58.046000	46.580000	
0.100000	1.551740	2.057368	58.474000	48.860000	
0.100000	1.547363	2.499497	58.464000	42.310000	
0.100000	1.548919	2.144593	58.532000	46.960000	
0.100000	1.552789	2.087070	58.410000	48.190000	
0.100000	1.541075	1.982076	58.682000	49.520000	
0.100000	1.551068	2.287414	58.336000	45.020000	
0.100000	1.539698	2.530470	58.668000	43.480000	
0.100000	1.551528	2.557922	58.208000	41.080000	
0.100000	1.539517	2.079901	58.588000	48.930000	
0.100000	1.541471	1.924511	58.622000	51.580000	
0.100000	1.537758	2.011250	58.708000	49.150000	
0.100000	1.534472	2.105741	58.414000	47.300000	
0.100000	1.539306	2.097130	58.580000	48.130000	
0.100000	1.530634	2.137450	58.974000	48.160000	
0.100000	1.538935	2.117028	58.348000	48.010000	
0.100000	1.515610	2.326628	59.402000	45.750000	
0.100000	1.534997	2.146075	58.752000	47.420000	
0.100000	1.526735	2.127945	59.130000	48.030000	
0.100000	1.520701	1.969831	59.110000	49.980000	
0.100000	1.525059	1.959743	59.210000	50.300000	
0.100000	1.514099	1.871694	59.280000	51.600000	
0.100000	1.522886	2.237503	58.994000	46.270000	
0.100000	1.508216	2.148763	59.400000	47.450000	
0.100000	1.513889	2.239504	59.320000	45.410000	
0.100000	1.514449	1.927628	59.274000	50.860000	
0.100000	1.518176	1.973377	59.346000	49.470000	
0.100000	1.518561	2.026844	58.888000	48.640000	
0.100000	1.503345	2.447523	59.540000	42.700000	
0.100000	1.507968	2.096391	59.458000	47.800000	
0.100000	1.508248	1.858346	59.378000	52.590000	
0.100000	1.499096	2.012638	59.764000	49.170000	
0.100000	1.508295	2.201673	59.562000	46.360000	
0.100000	1.497689	2.012352	59.868000	50.250000	
0.100000	1.502539	2.131146	59.790000	47.610000	
0.100000	1.497246	2.148927	59.870000	48.640000	
0.100000	1.497329	2.154290	59.722000	48.110000	
0.100000	1.489949	1.886900	59.846000	52.880000	
0.100000	1.509093	2.039414	59.260000	49.810000	
0.100000	1.481470	1.887442	60.128000	51.430000	
0.100000	1.493546	2.342233	59.836000	44.920000	
0.100000	1.492168	2.186714	59.648000	47.280000	
0.100000	1.497822	2.067973	59.658000	48.830000	
0.100000	1.491757	1.829323	59.764000	53.300000	
0.100000	1.488194	2.134841	59.902000	47.410000	
0.100000	1.482918	2.116058	59.840000	47.500000	
0.100000	1.492923	1.933512	59.908000	51.310000	
0.100000	1.477353	2.030584	60.100000	49.790000	
0.100000	1.497122	2.131924	59.546000	48.810000	
0.100000	1.488381	2.042646	59.996000	49.690000	
0.100000	1.476357	1.907153	60.056000	50.890000	
0.100000	1.475778	2.103979	60.508000	47.810000	
0.100000	1.474873	2.023966	60.142000	49.780000	
0.100000	1.468500	1.963202	60.350000	50.570000	
0.100000	1.469291	1.973197	60.394000	49.860000	
0.100000	1.465340	2.244435	60.230000	48.130000	
0.100000	1.470768	2.029674	60.232000	49.370000	
0.100000	1.463196	2.272350	60.472000	46.000000	
0.100000	1.459921	1.900826	60.568000	51.940000	
0.100000	1.471205	2.050953	60.496000	49.520000	
0.100000	1.464557	1.971535	60.300000	50.770000	
0.100000	1.452637	2.068617	60.716000	50.090000	
0.100000	1.451886	2.081451	60.784000	48.660000	
0.100000	1.464344	2.059660	60.252000	49.010000	
0.100000	1.456592	2.231377	60.386000	47.880000	
0.100000	1.457539	2.065201	60.592000	48.540000	
0.100000	1.445150	2.372954	60.862000	43.990000	
0.100000	1.450824	2.202844	60.776000	47.360000	
0.100000	1.453448	1.919244	60.742000	51.020000	
0.010000	0.896139	1.128253	74.360000	68.510000	
0.010000	0.728624	1.104809	78.672000	69.870000	
0.010000	0.656682	1.099917	80.460000	70.270000	
0.010000	0.611818	1.096223	81.800000	70.870000	
0.010000	0.566457	1.086389	83.076000	70.740000	
0.010000	0.527614	1.115152	84.132000	70.670000	
0.010000	0.496633	1.121491	84.936000	71.130000	
0.010000	0.459443	1.161202	86.004000	70.920000	
0.010000	0.437595	1.205757	86.546000	70.160000	
0.010000	0.412945	1.216740	87.246000	70.380000	
0.010000	0.395558	1.204263	87.804000	70.620000	
0.010000	0.374903	1.253994	88.414000	69.720000	
0.010000	0.360678	1.314080	88.646000	69.170000	
0.010000	0.352314	1.273160	88.954000	69.860000	
0.010000	0.325370	1.305754	89.752000	69.720000	
0.010000	0.326212	1.287487	89.898000	69.880000	
0.010000	0.321833	1.334189	89.860000	69.970000	
0.010000	0.315609	1.371054	90.136000	69.290000	
0.010000	0.305718	1.386945	90.488000	68.860000	
0.010000	0.306721	1.419172	90.266000	68.220000	
0.010000	0.308890	1.381321	90.180000	68.900000	
0.010000	0.304268	1.403388	90.466000	68.230000	
0.010000	0.294383	1.475401	90.648000	67.900000	
0.010000	0.300640	1.411940	90.478000	68.370000	
0.010000	0.293559	1.386636	90.748000	68.810000	
0.010000	0.299568	1.445660	90.734000	67.820000	
0.010000	0.294013	1.502417	90.844000	67.190000	
0.010000	0.296411	1.450167	90.696000	68.180000	
0.010000	0.293793	1.412751	90.738000	68.660000	
0.010000	0.295381	1.479662	90.698000	67.930000	
0.010000	0.285266	1.513506	91.016000	67.120000	
0.010000	0.288978	1.442993	91.014000	67.540000	
0.010000	0.289052	1.569480	90.910000	66.290000	
0.010000	0.295708	1.567522	90.740000	66.390000	
0.010000	0.294741	1.515089	90.876000	66.580000	
0.010000	0.281299	1.528970	91.248000	66.680000	
0.010000	0.281540	1.576397	91.198000	66.310000	
0.010000	0.279148	1.509462	91.202000	66.980000	
0.010000	0.289626	1.489517	91.096000	67.270000	
0.010000	0.286310	1.522105	91.130000	66.710000	
0.010000	0.283593	1.518250	91.140000	67.430000	
0.010000	0.286649	1.583027	91.124000	65.680000	
0.010000	0.278192	1.482014	91.286000	67.400000	
0.010000	0.282086	1.482861	91.278000	67.970000	
0.010000	0.283459	1.586633	91.176000	65.600000	
0.010000	0.272354	1.570828	91.680000	66.420000	
0.010000	0.278554	1.649882	91.396000	65.570000	
0.010000	0.282897	1.570991	91.226000	66.780000	
0.010000	0.266857	1.484383	91.806000	68.130000	
0.010000	0.269128	1.571690	91.702000	66.870000	
0.010000	0.271091	1.600227	91.524000	66.290000	
0.010000	0.269250	1.547871	91.616000	66.750000	
0.010000	0.268206	1.563926	91.694000	66.900000	
0.010000	0.271230	1.566819	91.722000	66.550000	
0.010000	0.265984	1.621731	91.864000	66.090000	
0.010000	0.276300	1.608903	91.444000	65.800000	
0.010000	0.266934	1.579224	91.794000	66.660000	
0.010000	0.263277	1.565792	91.870000	66.790000	
0.010000	0.265496	1.569445	91.834000	67.000000	
0.010000	0.265694	1.560724	91.842000	67.120000	
0.010000	0.261886	1.547843	91.886000	67.400000	
0.010000	0.262765	1.606533	92.058000	66.680000	
0.010000	0.262337	1.618815	91.992000	66.080000	
0.010000	0.259978	1.543206	92.022000	67.090000	
0.010000	0.267222	1.597870	91.776000	66.010000	
0.010000	0.249584	1.581826	92.392000	67.360000	
0.010000	0.256372	1.677945	92.120000	64.860000	
0.010000	0.246715	1.675174	92.500000	65.650000	
0.010000	0.250496	1.557349	92.436000	66.870000	
0.010000	0.262450	1.576335	91.986000	66.510000	
0.010000	0.243754	1.694954	92.520000	65.750000	
0.010000	0.246226	1.604203	92.430000	66.540000	
0.010000	0.241262	1.642439	92.604000	66.840000	
0.010000	0.257168	1.540665	92.114000	67.290000	
0.010000	0.235231	1.601463	92.864000	66.950000	
0.001000	0.110765	1.354991	96.778000	71.640000	
0.001000	0.067105	1.350729	98.128000	71.760000	
0.001000	0.051686	1.350430	98.660000	72.330000	
0.001000	0.043717	1.357581	98.944000	72.140000	
0.001000	0.037252	1.362371	99.054000	72.490000	
0.001000	0.036070	1.375032	99.070000	72.660000	
0.001000	0.032300	1.385060	99.230000	72.500000	
0.001000	0.028616	1.382220	99.342000	72.560000	
0.001000	0.027240	1.394449	99.368000	72.550000	
0.001000	0.024619	1.399404	99.446000	72.720000	
0.001000	0.024256	1.402820	99.464000	72.980000	
0.001000	0.020740	1.402344	99.570000	72.970000	
0.001000	0.022227	1.408401	99.512000	72.970000	
0.001000	0.021207	1.423421	99.526000	72.850000	
0.001000	0.019050	1.423341	99.582000	72.950000	
0.001000	0.018831	1.422951	99.584000	73.080000	
0.001000	0.018419	1.431156	99.646000	72.990000	
0.001000	0.017880	1.426753	99.628000	73.070000	
0.001000	0.017089	1.433287	99.620000	73.120000	
0.001000	0.016402	1.446238	99.678000	73.060000	
0.001000	0.015687	1.441837	99.668000	73.070000	
0.001000	0.014595	1.446014	99.738000	72.950000	
0.001000	0.014327	1.444938	99.722000	72.980000	
0.001000	0.014077	1.447153	99.730000	73.180000	
0.001000	0.013478	1.449406	99.764000	73.170000	
0.001000	0.013738	1.448895	99.738000	72.820000	
0.001000	0.012954	1.444522	99.740000	73.150000	
0.001000	0.013188	1.448563	99.766000	73.220000	
0.001000	0.012633	1.447637	99.746000	72.950000	
0.001000	0.012797	1.454369	99.750000	73.290000	
0.001000	0.012093	1.454341	99.802000	73.170000	
0.001000	0.011566	1.451400	99.800000	73.150000	
0.001000	0.012182	1.455697	99.766000	73.220000	
0.001000	0.011653	1.465514	99.782000	73.110000	
0.001000	0.011353	1.462615	99.798000	73.100000	
0.001000	0.010789	1.460334	99.810000	73.140000	
0.001000	0.010244	1.467749	99.830000	73.450000	
0.001000	0.010661	1.464910	99.812000	73.320000	
0.001000	0.009083	1.461215	99.872000	73.270000	
0.001000	0.009582	1.464155	99.848000	73.340000	
0.001000	0.009992	1.466695	99.828000	73.480000	
0.001000	0.009572	1.471911	99.850000	73.580000	
0.001000	0.009395	1.466220	99.848000	73.260000	
0.001000	0.009679	1.472083	99.828000	73.470000	
0.001000	0.009837	1.476003	99.810000	73.200000	
0.001000	0.009205	1.470577	99.856000	73.090000	
0.001000	0.008825	1.468967	99.866000	73.430000	
0.001000	0.008835	1.466615	99.850000	73.390000	
0.001000	0.009328	1.471261	99.858000	73.290000	
0.001000	0.008530	1.468285	99.864000	73.410000	
0.001000	0.009169	1.467180	99.846000	73.350000	
0.001000	0.008624	1.471278	99.862000	73.400000	
0.001000	0.008736	1.475336	99.860000	73.330000	
0.001000	0.008482	1.464699	99.878000	73.520000	
0.001000	0.007917	1.463768	99.888000	73.610000	
0.001000	0.008012	1.465056	99.878000	73.470000	
0.001000	0.008812	1.459610	99.842000	73.530000	
0.001000	0.008078	1.456904	99.896000	73.710000	
0.001000	0.007815	1.461253	99.890000	73.560000	
0.001000	0.007662	1.469440	99.886000	73.430000	
0.001000	0.007758	1.457438	99.878000	73.360000	
0.001000	0.007792	1.465259	99.882000	73.380000	
0.001000	0.007642	1.460921	99.884000	73.140000	
0.001000	0.007549	1.459141	99.892000	73.370000	
0.001000	0.007689	1.456267	99.890000	73.410000	
0.001000	0.007508	1.459872	99.892000	73.450000	
0.001000	0.007465	1.466089	99.900000	73.550000	
0.001000	0.007412	1.464737	99.898000	73.520000	
0.001000	0.007669	1.469432	99.886000	73.390000	
0.001000	0.007686	1.461225	99.882000	73.650000	
0.001000	0.007376	1.463033	99.884000	73.740000	
0.001000	0.007296	1.463964	99.902000	73.570000	
0.001000	0.007146	1.463391	99.898000	73.630000	
0.001000	0.007241	1.460656	99.910000	73.720000	
0.001000	0.007251	1.459439	99.920000	73.690000	
