Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.727115	4.568271	1.336000	1.520000	
0.100000	4.541483	4.514480	1.800000	2.150000	
0.100000	4.433535	4.317454	2.630000	3.450000	
0.100000	4.171694	4.427700	5.004000	4.410000	
0.100000	3.959343	3.990976	7.836000	8.500000	
0.100000	3.759477	4.018606	10.768000	11.330000	
0.100000	3.566059	3.613637	14.370000	15.010000	
0.100000	3.350314	3.309995	18.168000	18.960000	
0.100000	3.113758	3.439862	22.378000	20.420000	
0.100000	2.899218	2.840553	26.396000	28.250000	
0.100000	2.700673	2.906985	30.336000	27.830000	
0.100000	2.507076	2.478948	34.144000	35.030000	
0.100000	2.350255	2.434659	37.460000	37.020000	
0.100000	2.201911	2.388066	40.596000	39.090000	
0.100000	2.084531	2.222990	43.134000	41.980000	
0.100000	1.970116	3.695416	46.094000	38.850000	
0.100000	1.869539	2.560743	48.452000	44.570000	
0.100000	1.783507	2.133428	50.460000	45.140000	
0.100000	1.703991	1.941418	52.338000	47.420000	
0.100000	1.621707	1.871128	54.268000	50.460000	
0.100000	1.562810	1.830933	55.882000	50.580000	
0.100000	1.501241	1.914244	57.302000	50.140000	
0.100000	1.456902	1.645185	58.418000	55.460000	
0.100000	1.418005	1.971320	59.244000	53.610000	
0.100000	1.373550	1.895477	60.422000	54.650000	
0.100000	1.335967	1.662515	61.288000	55.410000	
0.100000	1.293087	1.649252	62.580000	56.360000	
0.100000	1.259062	1.621573	63.354000	56.380000	
0.100000	1.220007	1.657467	64.516000	55.580000	
0.100000	1.189685	1.637957	65.104000	57.020000	
0.100000	1.152097	1.576230	66.444000	58.110000	
0.100000	1.130882	1.554375	66.714000	58.610000	
0.100000	1.108430	1.543082	67.358000	59.310000	
0.100000	1.078528	1.514808	68.042000	59.340000	
0.100000	1.061421	1.525682	68.514000	59.460000	
0.100000	1.036089	1.428811	69.372000	61.110000	
0.100000	1.015644	1.512860	69.658000	59.580000	
0.100000	0.998705	1.553064	70.302000	59.950000	
0.100000	0.975390	1.533234	70.798000	60.040000	
0.100000	0.961015	1.609682	71.114000	58.620000	
0.100000	0.943915	1.532331	71.640000	60.420000	
0.100000	0.929526	1.445621	71.976000	62.230000	
0.100000	0.911066	1.502078	72.606000	60.650000	
0.100000	0.899469	1.503115	73.116000	60.820000	
0.100000	0.884548	1.481897	73.214000	61.350000	
0.100000	0.864650	1.477241	73.900000	61.440000	
0.100000	0.844172	1.542522	74.388000	59.780000	
0.100000	0.843836	1.436702	74.270000	62.590000	
0.100000	0.832972	1.366421	74.568000	63.240000	
0.100000	0.819390	1.414670	74.974000	63.520000	
0.100000	0.803081	1.392274	75.516000	63.560000	
0.100000	0.793152	1.530050	75.662000	61.470000	
0.100000	0.786886	1.536033	75.968000	61.250000	
0.100000	0.768125	1.418809	76.460000	63.250000	
0.100000	0.760844	1.395064	76.404000	63.680000	
0.100000	0.749673	1.526093	76.860000	60.790000	
0.100000	0.744165	1.433228	76.920000	62.690000	
0.100000	0.727889	1.516186	77.580000	61.390000	
0.100000	0.725250	1.358907	77.822000	64.300000	
0.100000	0.718681	1.446239	77.760000	62.670000	
0.100000	0.708747	1.547130	78.152000	61.870000	
0.100000	0.697351	1.676699	78.398000	59.960000	
0.100000	0.689150	1.426058	78.440000	62.950000	
0.100000	0.688022	1.479393	78.390000	63.300000	
0.100000	0.676647	1.459748	78.858000	62.860000	
0.100000	0.662552	1.493071	79.488000	62.510000	
0.100000	0.665054	1.512935	79.368000	61.900000	
0.100000	0.657318	1.439897	79.442000	63.520000	
0.100000	0.650524	1.408668	79.532000	63.230000	
0.100000	0.641658	1.599591	79.854000	61.940000	
0.100000	0.644088	1.440027	79.878000	63.860000	
0.100000	0.625280	1.463407	80.306000	63.520000	
0.100000	0.619122	1.445556	80.404000	63.850000	
0.100000	0.617604	1.489828	80.768000	64.370000	
0.100000	0.607574	1.432826	80.924000	63.860000	
0.100000	0.610166	1.528161	80.958000	64.170000	
0.100000	0.609138	1.506425	80.982000	63.380000	
0.100000	0.594705	1.549667	81.174000	63.010000	
0.100000	0.573709	1.520042	81.872000	63.130000	
0.100000	0.585921	1.492567	81.672000	63.730000	
0.100000	0.591139	1.507337	81.234000	63.770000	
0.100000	0.576127	1.468038	81.744000	63.980000	
0.100000	0.567823	1.554609	82.066000	63.450000	
0.100000	0.569342	1.604481	81.950000	63.260000	
0.100000	0.564179	1.718363	82.292000	60.920000	
0.100000	0.554538	1.470033	82.614000	64.130000	
0.100000	0.544902	1.404178	82.820000	64.420000	
0.100000	0.550408	1.540568	82.576000	63.280000	
0.100000	0.549144	1.466565	82.508000	64.620000	
0.100000	0.549097	1.527106	82.578000	63.830000	
0.100000	0.545733	1.662609	82.668000	62.220000	
0.100000	0.538229	1.401546	82.870000	66.130000	
0.100000	0.536140	1.509855	82.862000	62.760000	
