Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.627275	4.313799	2.058000	3.660000	
0.100000	4.198516	4.062493	4.708000	6.050000	
0.100000	3.968628	3.788265	7.430000	9.750000	
0.100000	3.719448	3.640725	11.784000	13.160000	
0.100000	3.496538	3.380320	15.696000	18.190000	
0.100000	3.203188	3.054183	21.106000	23.730000	
0.100000	2.898304	2.881019	26.670000	27.400000	
0.100000	2.650170	2.723037	31.648000	31.760000	
0.100000	2.440198	2.452018	36.124000	35.680000	
0.100000	2.264157	2.357877	39.944000	40.150000	
0.100000	2.103520	2.376300	43.350000	39.420000	
0.100000	1.965527	2.357997	46.246000	43.490000	
0.100000	1.843184	2.034480	49.324000	46.610000	
0.100000	1.734199	1.994069	51.790000	48.100000	
0.100000	1.634670	1.948074	54.430000	49.290000	
0.100000	1.565064	1.757961	55.718000	52.760000	
0.100000	1.487685	1.922007	58.038000	51.580000	
0.100000	1.411047	1.852407	59.968000	52.030000	
0.100000	1.350801	1.630007	61.032000	56.390000	
0.100000	1.287033	1.635131	62.928000	55.900000	
0.100000	1.242371	1.631712	64.076000	56.890000	
0.100000	1.195325	1.560208	65.286000	57.810000	
0.100000	1.152158	1.649527	66.566000	57.170000	
0.100000	1.117516	1.649693	67.006000	56.210000	
0.100000	1.069742	1.560846	68.382000	58.120000	
0.100000	1.044579	1.468598	69.016000	60.440000	
0.100000	1.010277	1.622981	69.944000	58.060000	
0.100000	0.979187	1.516866	70.802000	59.960000	
0.100000	0.954893	1.554490	71.276000	59.420000	
0.100000	0.934804	1.626969	72.064000	59.790000	
0.100000	0.902005	1.682007	72.886000	58.170000	
0.100000	0.886740	1.423522	73.420000	62.390000	
0.100000	0.869373	1.488956	73.722000	62.470000	
0.100000	0.843426	1.501963	74.536000	62.020000	
0.100000	0.825119	1.535998	75.114000	61.250000	
0.100000	0.806296	1.531368	75.462000	61.300000	
0.100000	0.787301	1.450618	76.036000	62.470000	
