Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.845267	3.544439	10.944000	16.660000	
0.100000	3.023813	2.964240	24.194000	27.450000	
0.100000	2.490999	2.566265	34.340000	35.380000	
0.100000	2.142681	2.197921	42.268000	41.430000	
0.100000	1.921112	2.149120	47.070000	43.500000	
0.100000	1.754751	2.095238	51.060000	45.780000	
0.100000	1.633156	1.853625	54.070000	50.250000	
0.100000	1.537720	1.788071	56.652000	52.230000	
0.100000	1.457482	1.722056	58.490000	53.820000	
0.100000	1.389826	1.676932	60.500000	54.840000	
0.100000	1.340024	1.636438	61.456000	56.340000	
0.100000	1.285826	1.646330	63.090000	55.960000	
0.100000	1.249922	1.823031	63.862000	53.130000	
0.100000	1.214483	1.557391	64.828000	58.020000	
0.100000	1.180448	1.508617	65.762000	60.000000	
0.100000	1.156278	1.611861	66.236000	58.760000	
0.100000	1.136512	1.481318	66.786000	59.610000	
0.100000	1.114980	1.691974	67.232000	57.260000	
0.100000	1.089628	1.426222	67.782000	60.960000	
0.100000	1.072270	1.473668	68.464000	60.550000	
0.100000	1.049932	1.515103	68.812000	59.390000	
0.100000	1.036185	1.510000	69.386000	59.740000	
0.100000	1.019320	1.439436	69.922000	60.970000	
0.100000	1.005314	1.403420	70.060000	61.100000	
0.100000	0.998734	1.413763	70.478000	61.650000	
0.100000	0.984092	1.423892	70.784000	62.420000	
0.100000	0.963927	1.469826	71.284000	61.600000	
0.100000	0.955760	1.327345	71.322000	63.830000	
0.100000	0.947074	1.565152	71.570000	60.320000	
0.100000	0.936638	1.432230	71.966000	62.110000	
0.100000	0.932563	1.510612	72.312000	60.970000	
0.100000	0.917487	1.498146	72.686000	60.720000	
0.100000	0.910185	1.649154	72.638000	59.180000	
0.100000	0.910055	1.455201	72.890000	62.350000	
0.100000	0.893348	1.367557	73.204000	63.210000	
0.100000	0.884622	1.432516	73.508000	62.220000	
0.100000	0.898125	1.286289	73.068000	65.230000	
0.100000	0.871747	1.497542	73.728000	61.560000	
0.100000	0.866936	1.428797	73.884000	62.580000	
0.100000	0.865854	1.332938	73.690000	64.610000	
0.100000	0.860083	1.405467	73.796000	61.760000	
0.100000	0.849382	1.515851	74.334000	61.170000	
0.100000	0.851351	1.414839	74.094000	63.130000	
0.100000	0.833819	1.313592	74.774000	65.460000	
0.100000	0.830311	1.430085	74.894000	62.760000	
0.100000	0.834096	1.307408	74.760000	64.770000	
0.100000	0.823740	1.406668	75.312000	63.490000	
0.100000	0.823388	1.306887	75.046000	65.540000	
0.100000	0.817144	1.345700	75.114000	64.290000	
