Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.859921	3.614387	10.590000	16.100000	
0.100000	3.125125	2.843523	22.532000	27.840000	
0.100000	2.542854	2.418973	33.420000	37.040000	
0.100000	2.174451	2.285380	41.374000	40.450000	
0.100000	1.940134	2.054866	46.750000	44.870000	
0.100000	1.781695	1.851082	50.498000	49.750000	
0.100000	1.648348	1.961698	53.758000	49.390000	
0.100000	1.544692	1.830452	56.278000	50.610000	
0.100000	1.464192	1.586365	58.202000	56.300000	
0.100000	1.395644	1.612545	60.242000	56.400000	
0.100000	1.348949	1.821185	61.530000	54.490000	
0.100000	1.302153	1.589706	62.730000	56.710000	
0.100000	1.257264	1.591457	63.550000	58.010000	
0.100000	1.223997	1.649301	64.586000	56.340000	
0.100000	1.181244	1.576483	65.618000	57.640000	
0.100000	1.162975	1.515267	66.264000	59.240000	
0.100000	1.123178	1.589734	67.188000	58.160000	
0.100000	1.115981	1.490104	67.328000	59.840000	
0.100000	1.084852	1.496095	68.266000	59.600000	
0.100000	1.070268	1.511465	68.608000	60.150000	
0.100000	1.060333	1.556551	68.598000	59.130000	
0.100000	1.035135	1.376135	69.534000	62.760000	
0.100000	1.016559	1.410351	69.652000	61.920000	
0.100000	1.003213	1.366678	70.142000	62.400000	
0.100000	0.989245	1.433597	70.644000	61.040000	
0.100000	0.982394	1.698670	70.858000	58.310000	
0.100000	0.974669	1.446113	71.004000	62.810000	
0.100000	0.957922	1.381026	71.330000	63.420000	
0.100000	0.945824	1.381191	71.876000	61.980000	
0.100000	0.934534	1.367762	72.020000	63.020000	
0.100000	0.938484	1.402133	71.990000	62.120000	
0.100000	0.917174	1.392978	72.520000	63.620000	
0.100000	0.916084	1.649753	72.544000	59.660000	
0.100000	0.902891	1.391210	72.882000	62.720000	
0.100000	0.901356	1.390879	72.968000	62.770000	
0.100000	0.886399	1.455024	73.416000	62.570000	
0.100000	0.881453	1.419702	73.584000	62.560000	
0.100000	0.882812	1.426286	73.336000	63.500000	
0.100000	0.866046	1.454156	73.936000	62.160000	
0.100000	0.864425	1.438551	73.706000	62.960000	
0.100000	0.859999	1.393157	74.090000	63.690000	
0.100000	0.855288	1.269390	74.014000	65.330000	
0.100000	0.841317	1.419103	74.808000	63.430000	
0.100000	0.844621	1.422109	74.440000	63.310000	
0.100000	0.830138	1.623058	74.904000	59.880000	
0.100000	0.830576	1.561570	74.762000	61.250000	
0.100000	0.826873	1.290203	74.896000	65.930000	
0.100000	0.825649	1.358415	75.228000	64.680000	
0.100000	0.820266	1.408704	75.292000	63.720000	
0.100000	0.814483	1.375496	75.276000	64.050000	
0.100000	0.816613	1.505580	75.182000	63.330000	
0.100000	0.810063	1.383984	75.472000	64.590000	
0.100000	0.803119	1.336617	75.606000	64.440000	
0.100000	0.804581	1.436233	75.498000	63.640000	
0.100000	0.794221	1.336928	75.604000	64.850000	
0.100000	0.794273	1.455497	75.840000	62.980000	
0.100000	0.778702	1.342505	76.140000	64.290000	
0.100000	0.791386	1.399964	75.790000	63.150000	
0.100000	0.780825	1.275004	76.180000	65.930000	
0.100000	0.779763	1.512068	76.116000	62.160000	
0.100000	0.776123	1.369906	76.580000	65.330000	
0.100000	0.778260	1.279484	76.314000	66.490000	
0.100000	0.771337	1.314127	76.418000	65.190000	
0.100000	0.765579	1.387825	76.516000	64.440000	
0.100000	0.768251	1.509971	76.510000	63.660000	
0.100000	0.768262	1.442692	76.548000	62.590000	
0.100000	0.759991	1.338593	76.670000	65.550000	
0.100000	0.763369	1.330774	76.734000	65.310000	
0.100000	0.754302	1.383527	76.956000	64.300000	
0.100000	0.751375	1.377005	77.190000	65.000000	
0.100000	0.756507	1.341798	76.758000	65.880000	
0.100000	0.759592	1.466706	76.790000	63.610000	
0.100000	0.748922	1.320681	77.028000	65.420000	
0.100000	0.750200	1.345404	76.998000	65.580000	
